word,neg_tf,bdc,neg_tf_bdc
惋惜,4.16,1,4.16
挽救,4.16,1,4.16
完蛋,4.16,1,4.16
外力,4.16,1,4.16
脱档,4.16,1,4.16
托挡,4.16,1,4.16
吞没,4.16,1,4.16
退换,4.16,1,4.16
退订,4.16,1,4.16
推卸,4.16,1,4.16
推诿,4.16,1,4.16
推辞,4.16,1,4.16
土鳖,4.16,1,4.16
途友,4.16,1,4.16
突遇,4.16,1,4.16
突突突,4.16,1,4.16
突突,4.16,1,4.16
秃,4.16,1,4.16
投诉无门,4.16,1,4.16
投诉量,4.16,1,4.16
偷看,4.16,1,4.16
铜陵,4.16,1,4.16
桐乡,4.16,1,4.16
同上,4.16,1,4.16
同利达,4.16,1,4.16
通话,4.16,1,4.16
通城,4.16,1,4.16
停工,4.16,1,4.16
停导,4.16,1,4.16
贴见,4.16,1,4.16
条款,4.16,1,4.16
天黑,4.16,1,4.16
天诚,4.16,1,4.16
体形,4.16,1,4.16
体位,4.16,1,4.16
体积,4.16,1,4.16
提来,4.16,1,4.16
腾讯,4.16,1,4.16
特装,4.16,1,4.16
逃避,4.16,1,4.16
烫手,4.16,1,4.16
叹服,4.16,1,4.16
坦承,4.16,1,4.16
贪污,4.16,1,4.16
贪腐,4.16,1,4.16
态度恶劣,4.16,1,4.16
太拙,4.16,1,4.16
太渣,4.16,1,4.16
太弱,4.16,1,4.16
太慢,4.16,1,4.16
太费油,4.16,1,4.16
太颠,4.16,1,4.16
太次,4.16,1,4.16
太差,4.16,1,4.16
胎噪风噪比,4.16,1,4.16
塌陷,4.16,1,4.16
锁住,4.16,1,4.16
锁死,4.16,1,4.16
锁上,4.16,1,4.16
所遇,4.16,1,4.16
隧道,4.16,1,4.16
塑料片,4.16,1,4.16
塑料板,4.16,1,4.16
速降,4.16,1,4.16
诉讼,4.16,1,4.16
搜索,4.16,1,4.16
送修,4.16,1,4.16
松油,4.16,1,4.16
松松垮垮,4.16,1,4.16
松开,4.16,1,4.16
死结,4.16,1,4.16
死沉,4.16,1,4.16
撕心裂肺,4.16,1,4.16
私房钱,4.16,1,4.16
说试,4.16,1,4.16
说卖,4.16,1,4.16
税点,4.16,1,4.16
水乡,4.16,1,4.16
水土不服,4.16,1,4.16
水汽,4.16,1,4.16
水气,4.16,1,4.16
帅印,4.16,1,4.16
甩到,4.16,1,4.16
衰弱,4.16,1,4.16
衰减,4.16,1,4.16
耍起,4.16,1,4.16
数表,4.16,1,4.16
舒堂,4.16,1,4.16
舒不,4.16,1,4.16
受阻,4.16,1,4.16
受高,4.16,1,4.16
守门员,4.16,1,4.16
手档,4.16,1,4.16
试换,4.16,1,4.16
事实真相,4.16,1,4.16
似得,4.16,1,4.16
似,4.16,1,4.16
市中心,4.16,1,4.16
食欲,4.16,1,4.16
实线,4.16,1,4.16
时有时无,4.16,1,4.16
时异,4.16,1,4.16
时说,4.16,1,4.16
时冷时热,4.16,1,4.16
时间推移,4.16,1,4.16
时好时坏,4.16,1,4.16
时不时,4.16,1,4.16
石柱,4.16,1,4.16
石景山,4.16,1,4.16
失职,4.16,1,4.16
失园,4.16,1,4.16
失速,4.16,1,4.16
失火,4.16,1,4.16
省油的灯,4.16,1,4.16
生档慢,4.16,1,4.16
升缩,4.16,1,4.16
升级换代,4.16,1,4.16
肾,4.16,1,4.16
申联,4.16,1,4.16
涉事,4.16,1,4.16
社以,4.16,1,4.16
哨音,4.16,1,4.16
上撞,4.16,1,4.16
上油,4.16,1,4.16
上锈,4.16,1,4.16
上排,4.16,1,4.16
上海通用工厂,4.16,1,4.16
上半部,4.16,1,4.16
上阿,4.16,1,4.16
山脚下,4.16,1,4.16
纱帘,4.16,1,4.16
沙子,4.16,1,4.16
沙眼,4.16,1,4.16
杀人,4.16,1,4.16
杀回,4.16,1,4.16
丧失殆尽,4.16,1,4.16
散架,4.16,1,4.16
三日,4.16,1,4.16
三分钟,4.16,1,4.16
弱小,4.16,1,4.16
弱项,4.16,1,4.16
软绵绵,4.16,1,4.16
软不拉几,4.16,1,4.16
乳白色,4.16,1,4.16
如愿以偿,4.16,1,4.16
人事,4.16,1,4.16
热风,4.16,1,4.16
热大,4.16,1,4.16
去掉,4.16,1,4.16
驱使,4.16,1,4.16
区区,4.16,1,4.16
请速,4.16,1,4.16
倾家荡产,4.16,1,4.16
倾不,4.16,1,4.16
侵占,4.16,1,4.16
切实,4.16,1,4.16
巧合,4.16,1,4.16
抢走,4.16,1,4.16
欠奉,4.16,1,4.16
千丝万缕,4.16,1,4.16
汽包,4.16,1,4.16
气体,4.16,1,4.16
气阀,4.16,1,4.16
崎岖不平,4.16,1,4.16
奇丑无比,4.16,1,4.16
漆薄,4.16,1,4.16
欺骗性,4.16,1,4.16
普利茅斯,4.16,1,4.16
普遍现象,4.16,1,4.16
普遍认为,4.16,1,4.16
普遍存在,4.16,1,4.16
铺天盖地,4.16,1,4.16
屏裂,4.16,1,4.16
平伸,4.16,1,4.16
拼命,4.16,1,4.16
骗保,4.16,1,4.16
偏俗,4.16,1,4.16
偏磨,4.16,1,4.16
偏盖,4.16,1,4.16
疲态,4.16,1,4.16
皮耶希,4.16,1,4.16
披,4.16,1,4.16
碰头,4.16,1,4.16
抨击,4.16,1,4.16
配卖,4.16,1,4.16
配来,4.16,1,4.16
赔款,4.16,1,4.16
陪你走,4.16,1,4.16
呸,4.16,1,4.16
跑得快,4.16,1,4.16
咆哮声,4.16,1,4.16
胖胖的,4.16,1,4.16
排自,4.16,1,4.16
排异,4.16,1,4.16
排水槽,4.16,1,4.16
排进,4.16,1,4.16
排查,4.16,1,4.16
女人气,4.16,1,4.16
弄弯,4.16,1,4.16
弄成,4.16,1,4.16
农用,4.16,1,4.16
牛气,4.16,1,4.16
拧上,4.16,1,4.16
娘胎,4.16,1,4.16
年事已高,4.16,1,4.16
年后,4.16,1,4.16
年产量,4.16,1,4.16
泥巴,4.16,1,4.16
闹心,4.16,1,4.16
恼火,4.16,1,4.16
难于,4.16,1,4.16
难言之隐,4.16,1,4.16
南海区,4.16,1,4.16
那条,4.16,1,4.16
那会人,4.16,1,4.16
那大,4.16,1,4.16
哪天,4.16,1,4.16
木圈,4.16,1,4.16
末期,4.16,1,4.16
磨平,4.16,1,4.16
明线,4.16,1,4.16
明亮,4.16,1,4.16
敏,4.16,1,4.16
妙,4.16,1,4.16
猛的,4.16,1,4.16
美中不足,4.16,1,4.16
美韩,4.16,1,4.16
每张,4.16,1,4.16
没找,4.16,1,4.16
没人要,4.16,1,4.16
没人来,4.16,1,4.16
没人管,4.16,1,4.16
没卵用,4.16,1,4.16
没离,4.16,1,4.16
没交,4.16,1,4.16
没计,4.16,1,4.16
冒烟,4.16,1,4.16
慢腾腾,4.16,1,4.16
蛮有意思,4.16,1,4.16
买回,4.16,1,4.16
骂娘,4.16,1,4.16
麻点,4.16,1,4.16
麻痹,4.16,1,4.16
妈造车,4.16,1,4.16
裸漏,4.16,1,4.16
罗纳尔多,4.16,1,4.16
罗马尼亚,4.16,1,4.16
轮盘,4.16,1,4.16
路易,4.16,1,4.16
录像,4.16,1,4.16
炉火纯青,4.16,1,4.16
芦,4.16,1,4.16
漏雨,4.16,1,4.16
漏气,4.16,1,4.16
漏氟,4.16,1,4.16
流氓,4.16,1,4.16
留痕,4.16,1,4.16
另当别论,4.16,1,4.16
临摹,4.16,1,4.16
裂口,4.16,1,4.16
裂痕,4.16,1,4.16
廖廖,4.16,1,4.16
晾干,4.16,1,4.16
两前,4.16,1,4.16
凉车,4.16,1,4.16
良机,4.16,1,4.16
廉颇老矣,4.16,1,4.16
联邦贸易委员会,4.16,1,4.16
联,4.16,1,4.16
连中配,4.16,1,4.16
连云港市,4.16,1,4.16
连快,4.16,1,4.16
连换,4.16,1,4.16
连带,4.16,1,4.16
连车,4.16,1,4.16
厉,4.16,1,4.16
历历在目,4.16,1,4.16
理赔,4.16,1,4.16
理睬,4.16,1,4.16
里头,4.16,1,4.16
礼拜天,4.16,1,4.16
离底,4.16,1,4.16
冷天,4.16,1,4.16
累好,4.16,1,4.16
羸弱,4.16,1,4.16
雷同,4.16,1,4.16
了买,4.16,1,4.16
了仿,4.16,1,4.16
勒索,4.16,1,4.16
老是,4.16,1,4.16
老气横秋,4.16,1,4.16
劳烦,4.16,1,4.16
廊坊市,4.16,1,4.16
狼皮,4.16,1,4.16
辣鸡,4.16,1,4.16
拉缸,4.16,1,4.16
亏电,4.16,1,4.16
匡特,4.16,1,4.16
块长,4.16,1,4.16
控制器,4.16,1,4.16
空穴来风,4.16,1,4.16
空隙,4.16,1,4.16
空调管,4.16,1,4.16
坑人,4.16,1,4.16
肯胎,4.16,1,4.16
客户服务,4.16,1,4.16
克斯,4.16,1,4.16
可取,4.16,1,4.16
可贵,4.16,1,4.16
可不,4.16,1,4.16
可悲,4.16,1,4.16
科技类,4.16,1,4.16
看大,4.16,1,4.16
看不上,4.16,1,4.16
看不惯,4.16,1,4.16
刊文,4.16,1,4.16
开太大,4.16,1,4.16
开台,4.16,1,4.16
开码,4.16,1,4.16
卡碟,4.16,1,4.16
卡齿,4.16,1,4.16
俊朗,4.16,1,4.16
巨大成功,4.16,1,4.16
举升,4.16,1,4.16
矩,4.16,1,4.16
就事论事,4.16,1,4.16
九天,4.16,1,4.16
揪心,4.16,1,4.16
境况,4.16,1,4.16
敬而远之,4.16,1,4.16
竟成,4.16,1,4.16
净亏损,4.16,1,4.16
井,4.16,1,4.16
精神损失,4.16,1,4.16
精明,4.16,1,4.16
进前,4.16,1,4.16
进风,4.16,1,4.16
进都,4.16,1,4.16
仅剩,4.16,1,4.16
解决不了,4.16,1,4.16
结晶,4.16,1,4.16
结合点,4.16,1,4.16
教训,4.16,1,4.16
较弱,4.16,1,4.16
较狠,4.16,1,4.16
觉车,4.16,1,4.16
矫情,4.16,1,4.16
胶状物,4.16,1,4.16
胶州,4.16,1,4.16
娇气,4.16,1,4.16
降档,4.16,1,4.16
将在,4.16,1,4.16
江,4.16,1,4.16
减速慢行,4.16,1,4.16
检修,4.16,1,4.16
监督,4.16,1,4.16
间有,4.16,1,4.16
间断,4.16,1,4.16
尖细,4.16,1,4.16
价格昂贵,4.16,1,4.16
价高,4.16,1,4.16
嘉实多,4.16,1,4.16
佳通,4.16,1,4.16
加薪,4.16,1,4.16
加精,4.16,1,4.16
加不上,4.16,1,4.16
技术实力,4.16,1,4.16
技术部,4.16,1,4.16
极力推荐,4.16,1,4.16
基数,4.16,1,4.16
货比三家,4.16,1,4.16
火化,4.16,1,4.16
火柴盒,4.16,1,4.16
活塞环,4.16,1,4.16
混不下去,4.16,1,4.16
昏,4.16,1,4.16
会响,4.16,1,4.16
会车,4.16,1,4.16
回位,4.16,1,4.16
回弹,4.16,1,4.16
回传,4.16,1,4.16
辉瑞,4.16,1,4.16
黄油,4.16,1,4.16
黄水,4.16,1,4.16
黄莲,4.16,1,4.16
环境保护局,4.16,1,4.16
怀化,4.16,1,4.16
滑起来,4.16,1,4.16
哗众取宠,4.16,1,4.16
华侨城,4.16,1,4.16
华驰,4.16,1,4.16
花招,4.16,1,4.16
花旗集团,4.16,1,4.16
虎将,4.16,1,4.16
糊涂,4.16,1,4.16
忽上忽下,4.16,1,4.16
忽忽悠悠,4.16,1,4.16
忽,4.16,1,4.16
呼呼,4.16,1,4.16
后因,4.16,1,4.16
后起之秀,4.16,1,4.16
后秒,4.16,1,4.16
洪水,4.16,1,4.16
宏宇,4.16,1,4.16
宏观,4.16,1,4.16
轰,4.16,1,4.16
恒联,4.16,1,4.16
很烂,4.16,1,4.16
很差,4.16,1,4.16
赫赫的,4.16,1,4.16
赫伯特,4.16,1,4.16
何原因,4.16,1,4.16
何时休,4.16,1,4.16
何去何从,4.16,1,4.16
何来,4.16,1,4.16
合宝,4.16,1,4.16
喝醉,4.16,1,4.16
号买,4.16,1,4.16
好长时间,4.16,1,4.16
好日子,4.16,1,4.16
豪庭,4.16,1,4.16
豪尔,4.16,1,4.16
行业动态,4.16,1,4.16
行径,4.16,1,4.16
行版,4.16,1,4.16
海里,4.16,1,4.16
海拉三,4.16,1,4.16
还整,4.16,1,4.16
还关,4.16,1,4.16
过早,4.16,1,4.16
过在,4.16,1,4.16
过山车,4.16,1,4.16
过保,4.16,1,4.16
国利,4.16,1,4.16
国界,4.16,1,4.16
国家环保局,4.16,1,4.16
国产轿车,4.16,1,4.16
滚出,4.16,1,4.16
规模化,4.16,1,4.16
龟裂,4.16,1,4.16
归还,4.16,1,4.16
广宝,4.16,1,4.16
管理中心,4.16,1,4.16
管好,4.16,1,4.16
管管,4.16,1,4.16
关灯,4.16,1,4.16
关单,4.16,1,4.16
挂掉,4.16,1,4.16
顾,4.16,1,4.16
故障诊断,4.16,1,4.16
鼓声,4.16,1,4.16
购买力,4.16,1,4.16
供油,4.16,1,4.16
公主坟,4.16,1,4.16
公用,4.16,1,4.16
公路交通,4.16,1,4.16
工薪族,4.16,1,4.16
更丑,4.16,1,4.16
跟造,4.16,1,4.16
给装,4.16,1,4.16
给付,4.16,1,4.16
各有不同,4.16,1,4.16
各位朋友,4.16,1,4.16
个把月,4.16,1,4.16
咯吱咯吱,4.16,1,4.16
咯噔,4.16,1,4.16
疙疙瘩瘩,4.16,1,4.16
告,4.16,1,4.16
高负荷,4.16,1,4.16
钢圈,4.16,1,4.16
刚跑,4.16,1,4.16
感要,4.16,1,4.16
感觉不好,4.16,1,4.16
盖章,4.16,1,4.16
改一改,4.16,1,4.16
改气,4.16,1,4.16
改来改去,4.16,1,4.16
复杂程度,4.16,1,4.16
附驾,4.16,1,4.16
负债表,4.16,1,4.16
辅助线,4.16,1,4.16
服务业,4.16,1,4.16
佛山市,4.16,1,4.16
缝制,4.16,1,4.16
缝儿,4.16,1,4.16
风口浪尖,4.16,1,4.16
风档,4.16,1,4.16
风波,4.16,1,4.16
费力,4.16,1,4.16
废油,4.16,1,4.16
废铁,4.16,1,4.16
废,4.16,1,4.16
肺癌,4.16,1,4.16
匪夷所思,4.16,1,4.16
肥大,4.16,1,4.16
飞悦,4.16,1,4.16
飞轮,4.16,1,4.16
放正,4.16,1,4.16
放炮,4.16,1,4.16
放不开,4.16,1,4.16
仿到,4.16,1,4.16
防治法,4.16,1,4.16
方圆,4.16,1,4.16
返厂,4.16,1,4.16
反应时间,4.16,1,4.16
反胃,4.16,1,4.16
反光镜,4.16,1,4.16
翻船,4.16,1,4.16
翻版,4.16,1,4.16
法兰盘,4.16,1,4.16
罚,4.16,1,4.16
发皱,4.16,1,4.16
发微,4.16,1,4.16
发闷,4.16,1,4.16
发黄,4.16,1,4.16
发抖,4.16,1,4.16
二档,4.16,1,4.16
儿戏,4.16,1,4.16
摁,4.16,1,4.16
恶俗,4.16,1,4.16
恶列,4.16,1,4.16
恶化,4.16,1,4.16
额,4.16,1,4.16
对立面,4.16,1,4.16
断线,4.16,1,4.16
短轴,4.16,1,4.16
短短,4.16,1,4.16
独缺,4.16,1,4.16
毒车,4.16,1,4.16
逗逼,4.16,1,4.16
动一动,4.16,1,4.16
动粗,4.16,1,4.16
东仁庆,4.16,1,4.16
东家,4.16,1,4.16
定理,4.16,1,4.16
订到,4.16,1,4.16
顶一顶,4.16,1,4.16
顶头,4.16,1,4.16
顶多能,4.16,1,4.16
跌落,4.16,1,4.16
跌,4.16,1,4.16
掉下来,4.16,1,4.16
掉色,4.16,1,4.16
掉皮,4.16,1,4.16
钓个,4.16,1,4.16
吊炸天,4.16,1,4.16
吊丝,4.16,1,4.16
刁难,4.16,1,4.16
店大欺客,4.16,1,4.16
电子锁,4.16,1,4.16
电气,4.16,1,4.16
点火装置,4.16,1,4.16
点估计,4.16,1,4.16
点不着,4.16,1,4.16
地震,4.16,1,4.16
地动,4.16,1,4.16
底沿,4.16,1,4.16
抵不过,4.16,1,4.16
低压,4.16,1,4.16
低开,4.16,1,4.16
低分,4.16,1,4.16
灯长,4.16,1,4.16
灯管,4.16,1,4.16
德孚,4.16,1,4.16
得并,4.16,1,4.16
道听途说,4.16,1,4.16
到极点,4.16,1,4.16
倒车档,4.16,1,4.16
倒闭,4.16,1,4.16
导,4.16,1,4.16
荡起,4.16,1,4.16
档偶,4.16,1,4.16
档齿,4.16,1,4.16
挡降,4.16,1,4.16
挡窜,4.16,1,4.16
噹,4.16,1,4.16
当自强,4.16,1,4.16
当局,4.16,1,4.16
当豪,4.16,1,4.16
但愿,4.16,1,4.16
戴雷,4.16,1,4.16
戴尔,4.16,1,4.16
大中华区,4.16,1,4.16
大致相同,4.16,1,4.16
大侠,4.16,1,4.16
大腕,4.16,1,4.16
大失所望,4.16,1,4.16
大气污染,4.16,1,4.16
大家伙,4.16,1,4.16
大行其道,4.16,1,4.16
大鼓,4.16,1,4.16
大肠,4.16,1,4.16
大不敬,4.16,1,4.16
打不,4.16,1,4.16
搭调,4.16,1,4.16
错事,4.16,1,4.16
挫车,4.16,1,4.16
寸进,4.16,1,4.16
村卡点,4.16,1,4.16
从外,4.16,1,4.16
从底,4.16,1,4.16
赐给,4.16,1,4.16
刺耳,4.16,1,4.16
春茂,4.16,1,4.16
吹冷风,4.16,1,4.16
吹风,4.16,1,4.16
吹到,4.16,1,4.16
窗器,4.16,1,4.16
穿孔,4.16,1,4.16
处有,4.16,1,4.16
处现,4.16,1,4.16
处漏,4.16,1,4.16
出油,4.16,1,4.16
出息,4.16,1,4.16
出钱,4.16,1,4.16
出轨,4.16,1,4.16
臭味,4.16,1,4.16
臭气熏天,4.16,1,4.16
臭气,4.16,1,4.16
抽动,4.16,1,4.16
崇牙,4.16,1,4.16
冲天,4.16,1,4.16
赤裸裸,4.16,1,4.16
耻反,4.16,1,4.16
迟暮,4.16,1,4.16
吃不开,4.16,1,4.16
城镇,4.16,1,4.16
成熟度,4.16,1,4.16
成片,4.16,1,4.16
沉重打击,4.16,1,4.16
扯蛋,4.16,1,4.16
车种,4.16,1,4.16
车一族,4.16,1,4.16
车玩,4.16,1,4.16
车天,4.16,1,4.16
车叔,4.16,1,4.16
车难,4.16,1,4.16
车凉,4.16,1,4.16
车盖,4.16,1,4.16
车费,4.16,1,4.16
车城,4.16,1,4.16
车爆漆,4.16,1,4.16
车把,4.16,1,4.16
超出预算,4.16,1,4.16
超标,4.16,1,4.16
畅顺,4.16,1,4.16
敞,4.16,1,4.16
浐,4.16,1,4.16
拆开来,4.16,1,4.16
拆除,4.16,1,4.16
差些,4.16,1,4.16
差太,4.16,1,4.16
差不差,4.16,1,4.16
刹时,4.16,1,4.16
查明,4.16,1,4.16
侧重点,4.16,1,4.16
踩重,4.16,1,4.16
踩轻,4.16,1,4.16
彩页,4.16,1,4.16
才子,4.16,1,4.16
擦拭,4.16,1,4.16
步子,4.16,1,4.16
不转,4.16,1,4.16
不中用,4.16,1,4.16
不知所措,4.16,1,4.16
不正,4.16,1,4.16
不怎么样,4.16,1,4.16
不在,4.16,1,4.16
不异,4.16,1,4.16
不严,4.16,1,4.16
不稳定性,4.16,1,4.16
不太脏,4.16,1,4.16
不收,4.16,1,4.16
不是太好,4.16,1,4.16
不烧,4.16,1,4.16
不入流,4.16,1,4.16
不容乐观,4.16,1,4.16
不忍心,4.16,1,4.16
不耐烦,4.16,1,4.16
不利,4.16,1,4.16
不力,4.16,1,4.16
不可估量,4.16,1,4.16
不堪,4.16,1,4.16
不经意,4.16,1,4.16
不讲理,4.16,1,4.16
不好受,4.16,1,4.16
不分伯仲,4.16,1,4.16
不动,4.16,1,4.16
不成,4.16,1,4.16
不标,4.16,1,4.16
补助款,4.16,1,4.16
博达,4.16,1,4.16
波及,4.16,1,4.16
病,4.16,1,4.16
冰,4.16,1,4.16
表妹,4.16,1,4.16
标准状态,4.16,1,4.16
标线,4.16,1,4.16
变轻,4.16,1,4.16
变挡,4.16,1,4.16
变大,4.16,1,4.16
避税,4.16,1,4.16
弊端,4.16,1,4.16
必换,4.16,1,4.16
必败,4.16,1,4.16
比换,4.16,1,4.16
比大,4.16,1,4.16
鼻炎,4.16,1,4.16
鼻,4.16,1,4.16
蹦蹦,4.16,1,4.16
崩溃,4.16,1,4.16
本间,4.16,1,4.16
备案,4.16,1,4.16
北五环,4.16,1,4.16
悲凉,4.16,1,4.16
悲惨,4.16,1,4.16
卑劣,4.16,1,4.16
爆胎,4.16,1,4.16
暴跌,4.16,1,4.16
暴表,4.16,1,4.16
宝和,4.16,1,4.16
宝店,4.16,1,4.16
宝诚,4.16,1,4.16
宝贝女儿,4.16,1,4.16
薄弱,4.16,1,4.16
薄漆软,4.16,1,4.16
榜上有名,4.16,1,4.16
帮帮我,4.16,1,4.16
伴有,4.16,1,4.16
半信半疑,4.16,1,4.16
半死不活,4.16,1,4.16
版智,4.16,1,4.16
板式,4.16,1,4.16
拜托,4.16,1,4.16
败,4.16,1,4.16
摆正,4.16,1,4.16
白头,4.16,1,4.16
白天黑夜,4.16,1,4.16
掰掰,4.16,1,4.16
灞,4.16,1,4.16
扒开,4.16,1,4.16
巴掌,4.16,1,4.16
凹下去,4.16,1,4.16
暗淡,4.16,1,4.16
按响,4.16,1,4.16
碍事,4.16,1,4.16
爱惜,4.16,1,4.16
爱妻,4.16,1,4.16
爱恨交加,4.16,1,4.16
爱不释手,4.16,1,4.16
阿,4.16,1,4.16
dang,4.16,1,4.16
不少,41.56,0.1,4.14
越野车,29.1,0.14,4.12
请问,16.63,0.25,4.12
究其原因,8.31,0.5,4.12
净利润,8.31,0.5,4.12
电吸门,8.31,0.5,4.12
打消,8.31,0.5,4.12
不平,8.31,0.5,4.12
办事,8.31,0.5,4.12
满足,20.78,0.2,4.11
完美,16.63,0.25,4.11
方便,12.47,0.33,4.11
版,78.97,0.05,4.1
真心,29.1,0.14,4.1
保养,70.66,0.06,4.09
威胁,8.31,0.49,4.09
提问,8.31,0.49,4.09
更新换代,8.31,0.49,4.09
发电机,8.31,0.49,4.09
漂亮,12.47,0.33,4.08
挂,33.25,0.12,4.07
贵,41.56,0.1,4.06
可,29.1,0.14,4.06
装配,20.78,0.19,4.05
体验,20.78,0.19,4.05
相当,29.1,0.14,4.03
相关,20.78,0.19,4.03
业内,8.31,0.48,4.03
掩盖,8.31,0.48,4.03
相对来说,8.31,0.48,4.03
唯独,8.31,0.48,4.03
听见,8.31,0.48,4.03
淘汰,8.31,0.48,4.03
塑料件,8.31,0.48,4.03
十大,8.31,0.48,4.03
生硬,8.31,0.48,4.03
生日,8.31,0.48,4.03
闪,8.31,0.48,4.03
色差,8.31,0.48,4.03
抛锚,8.31,0.48,4.03
难怪,8.31,0.48,4.03
磨损,8.31,0.48,4.03
描述,8.31,0.48,4.03
漏,8.31,0.48,4.03
隆起,8.31,0.48,4.03
看不出来,8.31,0.48,4.03
开玩笑,8.31,0.48,4.03
滑行,8.31,0.48,4.03
二者,8.31,0.48,4.03
电镀,8.31,0.48,4.03
低档,8.31,0.48,4.03
待遇,8.31,0.48,4.03
鄙视,8.31,0.48,4.03
类似,33.25,0.12,4.01
爬坡,16.63,0.24,4.01
再,58.19,0.07,3.98
逐步,16.63,0.24,3.96
更是,16.63,0.24,3.96
情况,70.66,0.06,3.94
省油,16.63,0.24,3.92
略显,16.63,0.24,3.92
既然,16.63,0.24,3.92
不想,24.94,0.16,3.9
根本,20.78,0.19,3.9
桃木,12.47,0.31,3.9
胎,12.47,0.31,3.9
算了,12.47,0.31,3.9
如同,12.47,0.31,3.9
韩系,12.47,0.31,3.9
挡,45.72,0.09,3.89
成为,16.63,0.23,3.89
保持,12.47,0.31,3.87
生产商,8.31,0.46,3.86
敞篷车,8.31,0.46,3.86
擦,8.31,0.46,3.86
每次,24.94,0.15,3.85
纷纷,12.47,0.31,3.82
前,141.32,0.03,3.81
简直,20.78,0.18,3.79
达到,16.63,0.23,3.79
且,33.25,0.11,3.78
细节,12.47,0.3,3.77
需求,20.78,0.18,3.75
美观,12.47,0.3,3.75
坐,58.19,0.06,3.74
怎么,83.13,0.04,3.73
相比,62.35,0.06,3.73
么,24.94,0.15,3.72
灯光,20.78,0.18,3.72
家庭,12.47,0.3,3.71
吧,120.54,0.03,3.7
稳定性,12.47,0.3,3.7
控制,33.25,0.11,3.69
玻璃,29.1,0.13,3.69
配备,12.47,0.3,3.69
颜值,8.31,0.44,3.69
期间,29.1,0.13,3.68
触摸屏,12.47,0.3,3.68
曝,8.31,0.44,3.67
诚信,8.31,0.44,3.67
一样,116.38,0.03,3.66
工艺,12.47,0.29,3.65
质感,8.31,0.44,3.65
市场份额,12.47,0.29,3.6
节省,12.47,0.29,3.6
个子,12.47,0.29,3.6
想,133.01,0.03,3.58
才,95.6,0.04,3.56
别的,37.41,0.09,3.55
助力,29.1,0.12,3.55
搭载,29.1,0.12,3.54
后悔,16.63,0.21,3.54
神,8.31,0.43,3.54
下,70.66,0.05,3.52
锐,8.31,0.42,3.52
开心,8.31,0.42,3.52
降,8.31,0.42,3.52
法,8.31,0.42,3.52
发动,8.31,0.42,3.52
产,8.31,0.42,3.52
购买,58.19,0.06,3.51
日常,20.78,0.17,3.51
改装,37.41,0.09,3.5
独立,12.47,0.28,3.5
出去,29.1,0.12,3.49
争议,12.47,0.28,3.49
回去,12.47,0.28,3.49
倒,37.41,0.09,3.48
豪华,37.41,0.09,3.47
进去,29.1,0.12,3.43
强劲,8.31,0.41,3.43
弄,12.47,0.27,3.41
整车,24.94,0.14,3.4
面临,8.31,0.41,3.4
泊车,12.47,0.27,3.39
过弯,12.47,0.27,3.38
完全,29.1,0.12,3.37
车里,29.1,0.12,3.35
两侧,16.63,0.2,3.35
包裹,16.63,0.2,3.35
担心,20.78,0.16,3.34
眼,16.63,0.2,3.34
提供,12.47,0.27,3.34
成熟,16.63,0.2,3.33
追尾,8.31,0.4,3.32
质疑,8.31,0.4,3.32
增压器,8.31,0.4,3.32
往前,8.31,0.4,3.32
台上,8.31,0.4,3.32
上去,8.31,0.4,3.32
念头,8.31,0.4,3.32
快要,8.31,0.4,3.32
可视,8.31,0.4,3.32
崛起,8.31,0.4,3.32
尽量,8.31,0.4,3.32
金额,8.31,0.4,3.32
节气门,8.31,0.4,3.32
减速带,8.31,0.4,3.32
互相,8.31,0.4,3.32
费劲,8.31,0.4,3.32
齿,8.31,0.4,3.32
受到,24.94,0.13,3.31
脚,16.63,0.2,3.31
很好,8.31,0.4,3.31
其,74.82,0.04,3.3
样子,20.78,0.16,3.3
有着,29.1,0.11,3.29
偶尔,20.78,0.16,3.29
稳定,12.47,0.26,3.28
大灯,70.66,0.05,3.27
累计,12.47,0.26,3.27
屁股,24.94,0.13,3.26
乞丐,16.63,0.2,3.26
肯定,20.78,0.16,3.25
干脆,8.31,0.39,3.25
不得不,20.78,0.16,3.24
材质,12.47,0.26,3.24
看起来,20.78,0.15,3.21
舒适度,16.63,0.19,3.21
油,37.41,0.09,3.2
实用性,8.31,0.38,3.19
大概,29.1,0.11,3.16
还好,20.78,0.15,3.16
安全气囊,20.78,0.15,3.16
关闭,16.63,0.19,3.14
之一,12.47,0.25,3.13
服务,62.35,0.05,3.12
级别,45.72,0.07,3.12
增加,20.78,0.15,3.11
以为,20.78,0.15,3.11
最好,12.47,0.25,3.11
直接,66.5,0.05,3.1
真,45.72,0.07,3.1
最大,16.63,0.19,3.1
看,199.51,0.02,3.09
智能,8.31,0.37,3.09
去,187.04,0.02,3.08
虽然,66.5,0.05,3.08
展开,8.31,0.37,3.07
换挡,33.25,0.09,3.06
果断,20.78,0.15,3.06
使,16.63,0.18,3.06
采用,8.31,0.37,3.06
产品,49.88,0.06,3.05
家里,41.56,0.07,3.05
加装,16.63,0.18,3.04
指出,8.31,0.36,3.03
臃肿,8.31,0.36,3.03
要不然,8.31,0.36,3.03
疼,8.31,0.36,3.03
权益,8.31,0.36,3.03
男生,8.31,0.36,3.03
过个,8.31,0.36,3.03
